Species,Family,Order,SQS,Conservation status,Larval feeding guild,Adult feeding guild,Broad biotope,Habitat,Resources,Specific assemblage type,Habitat score,Associations
Ochlodes sylvanus,Hesperiidae,Lepidoptera,1,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Pyrgus malvae,Hesperiidae,Lepidoptera,1,None;Section 41 Priority Species;VU,herbivore,nectivore,open habitats,short sward & bare ground,habitats >> sward/field layer,,,
Thymelicus acteon,Hesperiidae,Lepidoptera,8,Legal Protection;NR;NT;NT (European);Section 41 Priority Species,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Thymelicus lineola,Hesperiidae,Lepidoptera,1,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Thymelicus sylvestris,Hesperiidae,Lepidoptera,1,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Incurvaria oehlmanniella,Incurvariidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Prunus
Incurvaria pectinea,Incurvariidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Betula, Corylus"
Phylloporia bistrigella,Incurvariidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,
Dendrolimus pini,Lasiocampidae,Lepidoptera,1,,herbivore,nectivore,tree-associated,arboreal,"canopy >> mature tree canopy, conifer or broadleaved >> conifer only",,,"Picea, Pinus"
Eriogaster lanestris,Lasiocampidae,Lepidoptera,4,RDB 2,herbivore,nectivore,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Crataegus monogyna, Prunus spinosa"
Euthrix potatoria,Lasiocampidae,Lepidoptera,1,,herbivore,nectivore,open habitats,tall sward & scrub,"habitats >> sward/field layer, soil humidity >> wet",,,Phragmites australis
Gastropacha quercifolia,Lasiocampidae,Lepidoptera,1,,herbivore,nectivore,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,"Crataegus monogyna, Malus sylvestris, Prunus spinosa"
Lasiocampa quercus,Lasiocampidae,Lepidoptera,1,,herbivore,nectivore,,,,,,"Asteraceae, Calluna"
Lasiocampa trifolii,Lasiocampidae,Lepidoptera,4,None,herbivore,nectivore,open habitats,short sward & bare ground,"habitats >> exposed sand, soil humidity >> dry, soil type >> sand",F111,,Spermatophytina
Macrothylacia rubi,Lasiocampidae,Lepidoptera,1,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Malacosoma castrensis,Lasiocampidae,Lepidoptera,4,RDB 3,herbivore,nectivore,coastal,saltmarsh,,M311,,
Malacosoma neustria,Lasiocampidae,Lepidoptera,1,None;Section 41 Priority Species - research only,herbivore,nectivore,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,Asteraceae
Phyllodesma ilicifolia,Lasiocampidae,Lepidoptera,32,RDB 3,herbivore,nectivore,,,,,,Vaccinium myrtillus
Poecilocampa populi,Lasiocampidae,Lepidoptera,1,,herbivore,nectivore,tree-associated,arboreal,conifer or broadleaved >> broadleaved only,,,Asteraceae
Trichiura crataegi,Lasiocampidae,Lepidoptera,1,None;Section 41 Priority Species - research only,herbivore,nectivore,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only",,,Betula
Apoda limacodes,Limacodidae,Lepidoptera,4,None,herbivore,nectivore,tree-associated,arboreal,"canopy >> mature tree canopy, conifer or broadleaved >> broadleaved only",,,Quercus robur
Heterogenea asella,Limacodidae,Lepidoptera,8,,herbivore,nectivore,tree-associated,arboreal,"canopy >> mature tree canopy, conifer or broadleaved >> broadleaved only",,,"Fagus, Quercus"
Aricia agestis,Lycaenidae,Lepidoptera,1,,herbivore,nectivore,open habitats,short sward & bare ground,"base status >> base rich, habitats >> sward/field layer, soil humidity >> dry",F112,,Helianthemum
Aricia artaxerxes,Lycaenidae,Lepidoptera,8,Legal Protection;NS;Section 41 Priority Species;VU,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Cacyreus marshalli,Lycaenidae,Lepidoptera,,,herbivore,nectivore,,,,,,
Callophrys rubi,Lycaenidae,Lepidoptera,1,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Celastrina argiolus,Lycaenidae,Lepidoptera,1,LC;None,herbivore,nectivore,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, honeydew & sap runs (adult) >> honeydew (adult)",,,"Hedera helix, Ilex aquifolium"
Cupido argiades,Lycaenidae,Lepidoptera,,,herbivore,nectivore,,,,,,
Cupido minimus,Lycaenidae,Lepidoptera,1,Legal Protection;None;NT;Section 41 Priority Species,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Cyaniris semiargus,Lycaenidae,Lepidoptera,32,Extinct;RE,herbivore,nectivore,,,,,,Trifolium pratense
Favonius quercus,Lycaenidae,Lepidoptera,1,LC;None,herbivore,nectivore,tree-associated,arboreal,"canopy >> mature tree canopy, conifer or broadleaved >> broadleaved only",,,Quercus
Lampides boeticus,Lycaenidae,Lepidoptera,,,herbivore,nectivore,,,,,,Lathyrus
Lycaena dispar,Lycaenidae,Lepidoptera,32,Extinct;Legal Protection;NT (Global);RE,herbivore,nectivore,,,,,,Rumex hydrolapathum
Lycaena phlaeas,Lycaenidae,Lepidoptera,1,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Phengaris arion,Lycaenidae,Lepidoptera,32,CR;EN (European);Legal Protection;NR;NT (Global);Section 41 Priority Species,brood parasite,nectivore,,,,,,Myrmica sabuleti
Plebejus argus,Lycaenidae,Lepidoptera,8,Legal Protection;NS;Section 41 Priority Species;VU,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,
Polyommatus bellargus,Lycaenidae,Lepidoptera,4,Legal Protection;NS;NT,herbivore,nectivore,open habitats,short sward & bare ground,"base status >> base rich, habitats >> sward/field layer, soil humidity >> dry",F112,,Hippocrepis comosa
Polyommatus coridon,Lycaenidae,Lepidoptera,1,Legal Protection;None;NT,herbivore,nectivore,open habitats,short sward & bare ground,"base status >> base rich, habitats >> sward/field layer, soil humidity >> dry",F112,,Hippocrepis comosa
Polyommatus icarus,Lycaenidae,Lepidoptera,1,,herbivore,nectivore,open habitats,short sward & bare ground,habitats >> sward/field layer,,,
Rapala schistacea,Lycaenidae,Lepidoptera,,,herbivore,nectivore,,,,,,
Satyrium pruni,Lycaenidae,Lepidoptera,16,EN;Legal Protection;NS,herbivore,nectivore,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, flowers (adult), honeydew & sap runs (adult) >> honeydew (adult)",,,Prunus spinosa
Satyrium w-album,Lycaenidae,Lepidoptera,1,EN;Legal Protection;None;Section 41 Priority Species,herbivore,nectivore,tree-associated,arboreal,"canopy >> mature tree canopy, conifer or broadleaved >> broadleaved only, flowers (adult), honeydew & sap runs (adult) >> honeydew (adult)",,,Ulmus
Thecla betulae,Lycaenidae,Lepidoptera,1,Legal Protection;None;Section 41 Priority Species;VU,herbivore,nectivore,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, flowers (adult)",,,Prunus spinosa
Leucoptera laburnella,Lyonetiidae,Lepidoptera,,,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Lathyrus latifolius
Lyonetia prunifoliella,Lyonetiidae,Lepidoptera,,pRDB 1,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Ulex
Amphisbatis incongruella,Lypusidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,"Erica, Thymus"
Pseudatemelia josephinae,Lypusidae,Lepidoptera,,,herbivore,,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, woodland habitat >> woodland litter",,,
Pseudatemelia subochreella,Lypusidae,Lepidoptera,,None,herbivore,,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, woodland habitat >> woodland litter",,,
Micropterix aruncella,Micropterigidae,Lepidoptera,,,,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, flowers (adult), leaves and/or stems >> young leaves/ shoots",,,
Micropterix aureatella,Micropterigidae,Lepidoptera,,,,,tree-associated,arboreal,flowers (adult),,,
Micropterix calthella,Micropterigidae,Lepidoptera,,,,,tree-associated,arboreal,flowers (adult),,,
Micropterix tunbergella,Micropterigidae,Lepidoptera,,,herbivore,nectivore,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, flowers (adult)",,,
Mompha bradleyi,Momphidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Epilobium hirsutum
Mompha divisella,Momphidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Epilobium
Mompha jurassicella,Momphidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Epilobium hirsutum
Mompha lacteella,Momphidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Epilobium montanum
Mompha langiella,Momphidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,"Circaea lutetiana, Epilobium hirsutum"
Mompha ochraceella,Momphidae,Lepidoptera,,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Epilobium hirsutum
Mompha raschkiella,Momphidae,Lepidoptera,,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Chamerion angustifolium
Mompha sturnipennella,Momphidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Chamerion angustifolium
Mompha subbistrigella,Momphidae,Lepidoptera,,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Epilobium
Mompha terminella,Momphidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Circaea lutetiana
Bohemannia auriciliella,Nepticulidae,Lepidoptera,,pRDB 1,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, trunk & branches >> bark (feeding on)",,,
Bohemannia pulverosella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Malus
Ectoedemia agrimoniae,Nepticulidae,Lepidoptera,,pRDB 3,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Agrimonia
Ectoedemia albifasciella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Ectoedemia amani,Nepticulidae,Lepidoptera,,pRDB 1,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, trunk & branches >> bark (feeding on)",,,Ulmus
Ectoedemia angulifasciella,Nepticulidae,Lepidoptera,,,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Asteraceae
Ectoedemia arcuatella,Nepticulidae,Lepidoptera,,None,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Asteraceae
Ectoedemia argyropeza,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Populus tremula
Ectoedemia atricollis,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Crataegus
Ectoedemia atrifrontella,Nepticulidae,Lepidoptera,,Unknown,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, trunk & branches >> bark (feeding on)",,,Quercus
Ectoedemia decentella,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, inflorescence >> fleshy fruits, leaves and/or stems >> leaves (miners)",,,Acer pseudoplatanus
Ectoedemia hannoverella,Nepticulidae,Lepidoptera,,pRDB 3,saprophagous,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Populus nigra x deltoides = P. x canadensis
Ectoedemia heckfordi,Nepticulidae,Lepidoptera,,pRDB 1,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Ectoedemia heringella,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus ilex
Ectoedemia heringi,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Ectoedemia intimella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Salix
Ectoedemia longicaudella,Nepticulidae,Lepidoptera,,Unknown,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, trunk & branches >> bark (feeding on)",,,Quercus
Ectoedemia louisella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, inflorescence >> fleshy fruits, leaves and/or stems >> leaves (miners)",,,Acer pseudoplatanus
Ectoedemia minimella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Betula, Corylus"
Ectoedemia occultella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Betula
Ectoedemia quinquella,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,
Ectoedemia rubivora,Nepticulidae,Lepidoptera,,None,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Rubus
Ectoedemia septembrella,Nepticulidae,Lepidoptera,,,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Hypericum
Ectoedemia sericopeza,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, inflorescence >> fleshy fruits, leaves and/or stems >> leaves (miners)",,,Acer
Ectoedemia spinosella,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, leaves and/or stems >> leaves (miners)",,,Prunus
Ectoedemia subbimaculella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Ectoedemia turbidella,Nepticulidae,Lepidoptera,,pRDB 3,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Populus canescens
Ectoedemia weaveri,Nepticulidae,Lepidoptera,,None,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Vaccinium
Enteucha acetosae,Nepticulidae,Lepidoptera,,None,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Rumex
Stigmella aceris,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Acer
Stigmella aeneofasciella,Nepticulidae,Lepidoptera,,None,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Asteraceae
Stigmella alnetella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Alnus
Stigmella anomalella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> understorey, leaves and/or stems >> leaves (miners)",,,Rosa
Stigmella assimilella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Populus
Stigmella atricapitella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Stigmella aurella,Nepticulidae,Lepidoptera,,,herbivore,nectivore,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Rubus
Stigmella auromarginella,Nepticulidae,Lepidoptera,,pRDB 2,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,"Agrimonia, Rubus"
Stigmella basiguttella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Stigmella betulicola,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Betula
Stigmella carpinella,Nepticulidae,Lepidoptera,,pRDB 2,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Carpinus, Corylus"
Stigmella catharticella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Rhamnus
Stigmella centifoliella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> understorey, leaves and/or stems >> leaves (miners)",,,Rosa
Stigmella confusella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Betula
Stigmella continuella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Betula
Stigmella crataegella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Crataegus
Stigmella desperatella,Nepticulidae,Lepidoptera,,pRDB 1,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Malus, Pyrus"
Stigmella filipendulae,Nepticulidae,Lepidoptera,,pRDB 3,herbivore,does not feed,open habitats,tall sward & scrub,"base status >> base rich, habitats >> sward/field layer",,,Filipendula vulgaris
Stigmella floslactella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Carpinus, Corylus"
Stigmella glutinosae,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Alnus
Stigmella hemargyrella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Crataegus
Stigmella hybnerella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Crataegus
Stigmella incognitella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Malus
Stigmella lapponica,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Betula
Stigmella lemniscella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Ulmus glabra
Stigmella luteella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Betula
Stigmella magdalenae,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Malus, Sorbus, Sorbus aucuparia"
Stigmella malella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,leaves and/or stems >> leaves (miners),,,Malus
Stigmella mespilicola,Nepticulidae,Lepidoptera,,pRDB 2,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Cotoneaster, Sorbus"
Stigmella microtheriella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Carpinus, Corylus"
Stigmella minusculella,Nepticulidae,Lepidoptera,,pRDB 1,herbivore,,tree-associated,arboreal,leaves and/or stems >> leaves (miners),,,Pyrus
Stigmella myrtillella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,leaves and/or stems >> leaves (miners),,,
Stigmella nylandriella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Sorbus aucuparia
Stigmella obliquella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Salix
Stigmella oxyacanthella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Crataegus, Malus"
Stigmella paradoxa,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Crataegus
Stigmella perpygmaeella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Crataegus
Stigmella plagicolella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,leaves and/or stems >> leaves (miners),,,"Malus, Prunus"
Stigmella poterii,Nepticulidae,Lepidoptera,,None,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Asteraceae
Stigmella pretiosa,Nepticulidae,Lepidoptera,,Unknown,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,"Geum, Rubus"
Stigmella prunetorum,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,leaves and/or stems >> leaves (miners),,,Prunus
Stigmella pyri,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,leaves and/or stems >> leaves (miners),,,Pyrus
Stigmella regiella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"canopy >> scrub at wood edge/glade, conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Crataegus
Stigmella roborella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Stigmella ruficapitella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Stigmella sakhalinella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Betula
Stigmella salicis,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Salix
Stigmella samiatella,Nepticulidae,Lepidoptera,,None,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,"Castanea, Quercus"
Stigmella sorbi,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Sorbus aucuparia
Stigmella speciosa,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Acer pseudoplatanus
Stigmella spinosissimae,Nepticulidae,Lepidoptera,,pRDB 2,herbivore,,tree-associated,arboreal,"canopy >> understorey, leaves and/or stems >> leaves (miners)",,,Rosa
Stigmella splendidissimella,Nepticulidae,Lepidoptera,,,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,"Asteraceae, Rubus"
Stigmella suberivora,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Stigmella svenssoni,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Quercus
Stigmella tiliae,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Tilia
Stigmella tityrella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Fagus
Stigmella torminalis,Nepticulidae,Lepidoptera,,Extinct,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Sorbus
Stigmella trimaculella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Populus
Stigmella ulmivora,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Ulmus
Stigmella viscerella,Nepticulidae,Lepidoptera,,,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Ulmus
Stigmella zelleriella,Nepticulidae,Lepidoptera,,pRDB 1;Section 41 Priority Species,herbivore,,tree-associated,arboreal,"conifer or broadleaved >> broadleaved only, leaves and/or stems >> leaves (miners)",,,Salix repens
Trifurcula beirnei,Nepticulidae,Lepidoptera,,pRDB 1,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Cytisus scoparius
Trifurcula cryptella,Nepticulidae,Lepidoptera,,None,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Asteraceae
Trifurcula eurema,Nepticulidae,Lepidoptera,,pRDB 3,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Fabaceae
Trifurcula headleyella,Nepticulidae,Lepidoptera,,pRDB 2,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Prunella vulgaris
Trifurcula immundella,Nepticulidae,Lepidoptera,,,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Cytisus scoparius
Trifurcula squamatella,Nepticulidae,Lepidoptera,,pRDB 1,herbivore,does not feed,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Cytisus scoparius
