sampleid	processid
CARR_007_B6	CARR1618-23
CARR_007_B7	CARR1626-23
CARR_007_B8	CARR1634-23
CARR_007_B9	CARR1642-23
CARR_007_C1	CARR1579-23
CARR_007_C10	CARR1651-23
CARR_007_C11	CARR1659-23
CARR_007_C12	CARR1667-23
CARR_007_C2	CARR1587-23
CARR_007_C3	CARR1595-23
CARR_007_C4	CARR1603-23
CARR_007_C5	CARR1611-23
CARR_007_C6	CARR1619-23
CARR_007_C7	CARR1627-23
CARR_007_C8	CARR1635-23
CARR_007_C9	CARR1643-23
CARR_007_D1	CARR1580-23
CARR_007_D10	CARR1652-23
CARR_007_D11	CARR1660-23
CARR_007_D12	CARR1668-23
CARR_007_D2	CARR1588-23
CARR_007_D3	CARR1596-23
CARR_007_D4	CARR1604-23
CARR_007_D5	CARR1612-23
CARR_007_D6	CARR1620-23
CARR_007_D7	CARR1628-23
CARR_007_D8	CARR1636-23
CARR_007_D9	CARR1644-23
CARR_007_E1	CARR1581-23
CARR_007_E10	CARR1653-23
CARR_007_E11	CARR1661-23
CARR_007_E12	CARR1669-23
CARR_007_E2	CARR1589-23
CARR_007_E3	CARR1597-23
CARR_007_E4	CARR1605-23
CARR_007_E5	CARR1613-23
CARR_007_E6	CARR1621-23
CARR_007_E7	CARR1629-23
CARR_007_E8	CARR1637-23
CARR_007_E9	CARR1645-23
CARR_007_F1	CARR1582-23
CARR_007_F10	CARR1654-23
CARR_007_F11	CARR1662-23
CARR_007_F12	CARR1670-23
CARR_007_F2	CARR1590-23
CARR_007_F3	CARR1598-23
CARR_007_F4	CARR1606-23
CARR_007_F5	CARR1614-23
CARR_007_F6	CARR1622-23
CARR_007_F7	CARR1630-23
CARR_007_F8	CARR1638-23
CARR_007_F9	CARR1646-23
CARR_007_G1	CARR1583-23
CARR_007_G10	CARR1655-23
CARR_007_G11	CARR1663-23
CARR_007_G12	CARR1671-23
CARR_007_G2	CARR1591-23
CARR_007_G3	CARR1599-23
CARR_007_G4	CARR1607-23
CARR_007_G5	CARR1615-23
CARR_007_G6	CARR1623-23
CARR_007_G7	CARR1631-23
CARR_007_G8	CARR1639-23
CARR_007_G9	CARR1647-23
CARR_007_H1	CARR1584-23
CARR_007_H10	CARR1656-23
CARR_007_H11	CARR1664-23
CARR_007_H2	CARR1592-23
CARR_007_H3	CARR1600-23
CARR_007_H4	CARR1608-23
CARR_007_H5	CARR1616-23
CARR_007_H6	CARR1624-23
CARR_007_H7	CARR1632-23
CARR_007_H8	CARR1640-23
CARR_007_H9	CARR1648-23
CARR_008_A1	CARR1672-23
CARR_008_A10	CARR1744-23
CARR_008_A11	CARR1752-23
CARR_008_A12	CARR1760-23
CARR_008_A2	CARR1680-23
CARR_008_A3	CARR1688-23
CARR_008_A4	CARR1696-23
CARR_008_A5	CARR1704-23
CARR_008_A6	CARR1712-23
CARR_008_A7	CARR1720-23
CARR_008_A8	CARR1728-23
CARR_008_A9	CARR1736-23
CARR_008_B1	CARR1673-23
CARR_008_B10	CARR1745-23
CARR_008_B11	CARR1753-23
CARR_008_B12	CARR1761-23
CARR_008_B2	CARR1681-23
CARR_008_B3	CARR1689-23
CARR_008_B4	CARR1697-23
CARR_008_B5	CARR1705-23
CARR_008_B6	CARR1713-23
CARR_008_B7	CARR1721-23
CARR_008_B8	CARR1729-23
CARR_008_B9	CARR1737-23
CARR_008_C1	CARR1674-23
CARR_008_C10	CARR1746-23
CARR_008_C11	CARR1754-23
CARR_008_C12	CARR1762-23
CARR_008_C2	CARR1682-23
CARR_008_C3	CARR1690-23
CARR_008_C4	CARR1698-23
CARR_008_C5	CARR1706-23
CARR_008_C6	CARR1714-23
CARR_008_C7	CARR1722-23
CARR_008_C8	CARR1730-23
CARR_008_C9	CARR1738-23
CARR_008_D1	CARR1675-23
CARR_008_D10	CARR1747-23
CARR_008_D11	CARR1755-23
CARR_008_D12	CARR1763-23
CARR_008_D2	CARR1683-23
CARR_008_D3	CARR1691-23
CARR_008_D4	CARR1699-23
CARR_008_D5	CARR1707-23
CARR_008_D6	CARR1715-23
CARR_008_D7	CARR1723-23
CARR_008_D8	CARR1731-23
CARR_008_D9	CARR1739-23
CARR_008_E1	CARR1676-23
CARR_008_E10	CARR1748-23
CARR_008_E11	CARR1756-23
CARR_008_E12	CARR1764-23
CARR_008_E2	CARR1684-23
CARR_008_E3	CARR1692-23
CARR_008_E4	CARR1700-23
CARR_008_E5	CARR1708-23
CARR_008_E6	CARR1716-23
CARR_008_E7	CARR1724-23
CARR_008_E8	CARR1732-23
CARR_008_E9	CARR1740-23
CARR_008_F1	CARR1677-23
CARR_008_F10	CARR1749-23
CARR_008_F11	CARR1757-23
CARR_008_F12	CARR1765-23
CARR_008_F2	CARR1685-23
CARR_008_F3	CARR1693-23
CARR_008_F4	CARR1701-23
CARR_008_F5	CARR1709-23
CARR_008_F6	CARR1717-23
CARR_008_F7	CARR1725-23
CARR_008_F8	CARR1733-23
CARR_008_F9	CARR1741-23
CARR_008_G1	CARR1678-23
CARR_008_G10	CARR1750-23
CARR_008_G11	CARR1758-23
CARR_008_G12	CARR1766-23
CARR_008_G2	CARR1686-23
CARR_008_G3	CARR1694-23
CARR_008_G4	CARR1702-23
CARR_008_G5	CARR1710-23
CARR_008_G6	CARR1718-23
CARR_008_G7	CARR1726-23
CARR_008_G8	CARR1734-23
CARR_008_G9	CARR1742-23
CARR_008_H1	CARR1679-23
CARR_008_H10	CARR1751-23
CARR_008_H11	CARR1759-23
CARR_008_H2	CARR1687-23
CARR_008_H3	CARR1695-23
CARR_008_H4	CARR1703-23
CARR_008_H5	CARR1711-23
CARR_008_H6	CARR1719-23
CARR_008_H7	CARR1727-23
CARR_008_H8	CARR1735-23
CARR_008_H9	CARR1743-23
CARR_009_A1	CARR1767-23
CARR_009_A10	CARR1839-23
CARR_009_A11	CARR1847-23
CARR_009_A12	CARR1855-23
CARR_009_A2	CARR1775-23
CARR_009_A3	CARR1783-23
CARR_009_A4	CARR1791-23
CARR_009_A5	CARR1799-23
CARR_009_A6	CARR1807-23
CARR_009_A7	CARR1815-23
CARR_009_A8	CARR1823-23
CARR_009_A9	CARR1831-23
CARR_009_B1	CARR1768-23
CARR_009_B10	CARR1840-23
CARR_009_B11	CARR1848-23
CARR_009_B12	CARR1856-23
CARR_009_B2	CARR1776-23
CARR_009_B3	CARR1784-23
CARR_009_B4	CARR1792-23
CARR_009_B5	CARR1800-23
CARR_009_B6	CARR1808-23
CARR_009_B7	CARR1816-23
CARR_009_B8	CARR1824-23
CARR_009_B9	CARR1832-23
CARR_009_C1	CARR1769-23
CARR_009_C10	CARR1841-23
CARR_009_C11	CARR1849-23
CARR_009_C12	CARR1857-23
CARR_009_C2	CARR1777-23
CARR_009_C3	CARR1785-23
CARR_009_C4	CARR1793-23
CARR_009_C5	CARR1801-23
CARR_009_C6	CARR1809-23
CARR_009_C7	CARR1817-23
CARR_009_C8	CARR1825-23
CARR_009_C9	CARR1833-23
CARR_009_D1	CARR1770-23
CARR_009_D10	CARR1842-23
CARR_009_D11	CARR1850-23
CARR_009_D12	CARR1858-23
CARR_009_D2	CARR1778-23
